episode,R_collision,RC,OL,TTD,TTFC,Ego_Cols,Total_Cols,NPC_LDE,BG_LDE
141,1,0.41515786161914947,0,80,44,1,3,1.261627094400649,1.084543817006084
142,0,0.585633984832479,0,80,80,0,0,1.4674366760856774,2.0410370833769633
143,1,0.39050580074248786,0,80,58,1,3,1.034596223792452,1.3255918118500674
144,1,0.36488902315245314,0,80,38,1,1,0.46599691042323627,0.8854595459360178
145,1,0.5714574434044541,0,80,78,1,4,1.1562519247306442,1.6309783413201047
146,1,0.4490208301119058,0,80,62,1,2,1.280391203982158,1.4695615346426723
147,1,0.3949947147357652,0,80,43,1,2,0.7259617406091957,1.262017193266736
148,0,0.5779639618712856,0,80,80,0,2,2.179979411151584,1.8156568631452346
149,1,0.4289479913367782,0,80,61,1,3,1.316136762262963,1.3827197614647162
150,1,0.4319943660488637,0,80,48,1,3,1.04945421478781,1.1002749542173966
151,1,0.4663579704230306,0,80,53,1,3,1.849403791268914,1.7545021983017681
152,1,0.4333423410507834,0,80,47,1,2,0.8750665501521805,1.0430196548070845
153,1,0.281359554182087,0,80,63,1,1,0.9921614235914912,2.441030294552463
154,0,0.36533260080786234,0,80,80,0,2,2.6683591768100445,2.586801446078112
155,1,0.4967536113159248,0,80,60,1,2,1.8036567947637263,2.3992545440406525
156,1,0.4379788537339538,0,80,48,1,3,0.7916493776465883,1.0819336311314225
157,0,0.3913975175429298,0,80,80,0,4,2.2538928802387157,2.845964229627859
158,0,0.6029235089144922,0,80,80,0,2,2.250316674566852,1.6064988136880842
159,1,0.37326486443783613,0,80,39,1,2,0.7032860738804964,0.9509319103428382
160,0,0.46964088833654816,0,80,80,0,4,2.849052593732921,2.2382795128818804
161,1,0.5065105962282772,0,80,62,1,3,1.1477595187491805,1.4990736749723876
162,1,0.46117567291731215,0,80,54,1,1,1.77099629250341,1.376923087499379
163,0,0.5245974647370584,0,80,80,0,3,1.646844247920302,4.039864918515393
164,1,0.4314056274144246,0,80,47,1,4,0.7514558166835753,1.1430841618391319
165,1,0.3892643692841171,0,80,42,1,1,0.9161969259601773,1.0432648060606533
166,0,0.5653819450832699,0,80,80,0,1,1.2279849128545217,2.1721031079906865
167,0,0.5558553367018889,0,80,80,0,4,3.3381574063767054,4.548255251364388
168,0,0.5396412011717239,0,80,80,0,2,0.6378382301952753,2.1672112609479304
169,0,0.5645477503689662,0,80,80,0,4,3.351237272883358,3.5794246167831085
170,1,0.47325501836331135,0,80,55,1,2,1.1952328546514885,1.8963359339326675
171,0,0.5178532218065585,0,80,80,0,4,2.972176237843979,3.713606800398303
172,1,0.40257616911290456,0,80,45,1,3,1.3104631915894676,1.0897015611270262
173,0,0.3865096728065189,0,80,80,0,3,1.8537222364802466,2.023407674770024
174,1,0.3628358088765211,0,80,40,1,3,1.1488298873382605,1.413358523677829
175,0,0.6026222170733604,0,80,80,0,4,3.5109910740040298,1.702067052914728
176,0,0.6018645233371795,0,80,80,0,3,2.905837460004605,2.2032496468470977
177,0,0.5695413611876725,0,80,80,0,3,2.86541737564372,1.7806354139955973
178,1,0.4258772409045112,0,80,47,1,2,0.8656319816210343,1.1688747915698878
179,0,0.601567097873381,0,80,80,0,2,1.4919510948480499,2.3103035444292717
180,0,0.5875503560532785,0,80,80,0,1,1.6194286411290835,3.4720522679378023
181,0,0.26251411409407394,0,80,80,0,4,3.3486518592782866,4.051788482356676
182,1,0.47621349076693664,0,80,56,1,2,0.90674095636092,1.5508553668753688
183,1,0.3837899539519694,0,80,41,1,1,0.5056953569610426,0.9822958571858204
184,0,0.6021099330541375,0,80,80,0,2,2.0872015189420465,1.6961304000146489
185,1,0.3815114232177325,0,80,53,1,3,0.9209476366212206,1.500731989505511
186,0,0.5689726109093214,0,80,80,0,2,2.725332997486557,3.8780785019587345
187,1,0.5086040753603192,0,80,62,1,4,1.0492550820818043,1.368813288627802
188,0,0.6018645233371795,0,80,80,0,2,2.789795203850224,2.0309989405537934
189,0,0.19542237899727513,0,80,80,0,3,2.281679450225623,3.25856240292654
190,1,0.4712490803578735,0,80,60,1,3,1.4457440820898302,1.517780282935733
191,0,0.5695413611876725,0,80,80,0,1,1.3320645392953085,1.8143009190021082
192,1,0.40016473288826837,0,80,44,1,1,0.7246767313619492,1.1047974781896062
193,0,0.558407791761346,0,80,80,0,4,2.5394525940118786,1.9397071326183188
194,0,0.6026222170733604,0,80,80,0,2,1.496539612587739,1.6665868516719313
195,0,0.5937449196767184,0,80,80,0,1,1.2249441722453496,3.839424627272624
196,0,0.5957868140258603,0,80,80,0,0,1.812487145879917,2.551562238778135
197,1,0.33272679796385296,0,80,41,1,3,0.6411432744085525,1.0068045440692988
198,0,0.5988148479509899,0,80,80,0,2,2.1568829520412516,2.5880928714092244
199,1,0.5391536221673687,0,80,73,1,1,1.0649688463787828,1.6773889436159157
200,1,0.5121408321434363,0,80,62,1,1,1.1572335740003374,1.730000129932325
201,0,0.6019286349644182,0,80,80,0,2,1.7506581169018138,1.7665891922261017
202,1,0.32620812956761996,0,80,37,1,4,1.30232437718,0.9546806891302002
203,1,0.4718718116916324,0,80,54,1,3,0.6150625951274804,1.2603229639022238
204,0,0.6021099330541375,0,80,80,0,2,2.492965323664485,1.791322903755216
205,0,0.5665332790233322,0,80,80,0,2,2.375615938577751,1.7465875381975122
206,0,0.6026222170733604,0,80,80,0,0,0.9137673263063221,1.610839140875953
207,0,0.5610651678135611,0,80,80,0,3,1.4405016187454935,3.0091465084744335
208,1,0.364884390893571,0,80,53,1,3,0.7080797202466474,1.231694279935012
209,1,0.39481737174116793,0,80,43,1,1,0.3975271146624406,1.065600763380574
210,1,0.36751217861253616,0,80,38,1,2,0.6601289625623358,1.0170645507216591
211,0,0.39385761705164407,0,80,80,0,3,1.8442263473677674,2.9249384216266754
212,0,0.6020292504481659,0,80,80,0,2,1.766009274138861,1.8387240832035834
213,1,0.3773664034316331,0,80,40,1,2,0.553977590821425,1.1539322222077009
214,0,0.6026222170733604,0,80,80,0,0,1.894322009866699,1.5777749097196858
215,0,0.6018645233371795,0,80,80,0,4,4.313811103366247,2.065883553841377
216,0,0.5904198803167368,0,80,80,0,2,3.255573274776657,4.249067739582941
217,1,0.4713886819439345,0,80,54,1,3,1.3192774214524998,1.239528915732039
218,1,0.4565606730839969,0,80,52,1,2,1.437401563471944,1.5638677883396679
219,0,0.5936725862721168,0,80,80,0,0,1.3162641902389616,2.5035732475508747
220,1,0.47355484691478067,0,80,60,1,3,1.857484954083765,1.5301723970723464
221,0,0.6021099330541375,0,80,80,0,2,1.7007263942561277,1.6829804330235771
222,0,0.5496993307030673,0,80,80,0,2,3.0114917458885717,3.6018179829753647
223,1,0.4887537895486493,0,80,58,1,3,1.5875843653866646,1.5150246295159011
224,1,0.4855117003731091,0,80,57,1,3,0.7206472763812201,1.288124845619865
225,1,0.3898866648127295,0,80,42,1,2,0.7784117959252225,1.2025049939570944
226,0,0.5683937242606939,0,80,80,0,1,1.080702824715179,4.329144320955028
227,0,0.5104466786783791,0,80,80,0,0,1.2821855954948989,1.7902075977231786
228,1,0.3673162379221984,0,80,38,1,1,0.43561198800696377,0.8982349602826041
229,0,0.5791221336359916,0,80,80,0,5,3.470378842024249,3.318700595474613
230,1,0.39370619805174906,0,80,47,1,4,0.9508487329622266,1.082872381191957
231,0,0.601567097873381,0,80,80,0,2,1.7236645345647605,2.4173251677104037
232,1,0.45126018227445186,0,80,54,1,2,0.9289211687676201,1.7317565228137008
233,1,0.36730086157096237,0,80,38,1,2,0.46589502539930283,0.8917291145340386
234,1,0.4405671908445365,0,80,49,1,3,0.7219695221864616,1.122016470541581
235,0,0.3689561878737241,0,80,80,0,3,1.847486468390504,3.8386378875221623
236,1,0.48007322725577967,0,80,61,1,1,1.2549983907619322,2.2703805130753794
237,0,0.5936100207743571,0,80,80,0,1,2.6287453041384734,1.7738501784750114
238,0,0.5836705884402963,0,80,80,0,2,2.5190819002040783,3.43826144452094
239,1,0.3705964929021487,0,80,39,1,3,0.9142995629949953,0.959763869242503
240,0,0.6026222170733604,0,80,80,0,1,2.134917984203059,1.9549504061334109
241,0,0.2797593656184075,0,80,80,0,3,2.382220010308434,2.6284156619308088
242,0,0.5657629786648495,0,80,80,0,2,1.587279184701342,2.2672343079169863
243,0,0.5524984418547179,0,80,80,0,2,2.7728977635922383,3.0668371296854273
244,0,0.6019549018759558,0,80,80,0,2,1.2708229740897987,2.047917829219286
245,1,0.39421311503459305,0,80,43,1,3,1.4762323073833723,1.394483237802163
246,0,0.30503264640299255,0,80,80,0,3,2.0336692265567486,1.9474850727500737
247,0,0.5928887223029871,0,80,80,0,1,1.8948883921320716,2.345082125385973
248,1,0.3708692348523326,0,80,39,1,1,0.6429026004771717,0.9236270486073054
249,1,0.40520053624301877,0,80,45,1,1,0.9568268770640364,1.1586388890217858
250,1,0.3667581107421187,0,80,38,1,1,0.9603202927200906,0.8944765410129035
251,0,0.5971246533465082,0,80,80,0,2,2.0914150352977816,1.793448203255223
252,0,0.6021099330541375,0,80,80,0,2,2.870337446484996,1.8567300357924927
253,0,0.5762465607531403,0,80,80,0,2,1.4752411968015993,2.0715898161761515
254,1,0.4013837159964179,0,80,45,1,1,0.8439785938683341,1.136989258328647
255,0,0.5665332790233322,0,80,80,0,0,3.1560938629549136,2.83502944146636
256,1,0.4718889434661237,0,80,65,1,2,2.034004016304132,1.627920477927303
257,1,0.39504814158437346,0,80,43,1,1,0.5550228716706008,1.0665683577809462
